id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
187870,Luxury studio 'Spiegelhof' in the centre of Ghent,904277,Tamara,,Watersportbaan - Ekkergem,51.05168,3.70283,Private room,80,2,426,2021-10-01,3.41,1,273,21,
203806,Flat close to Sint-Pieters Station!,999847,Lies,,Watersportbaan - Ekkergem,51.04428,3.71395,Entire home/apt,89,2,291,2021-12-04,2.35,1,26,6,
204245,Modern studio's in Ghent centre,1003009,Nele,,Binnenstad,51.05842,3.72721,Entire home/apt,93,1,33,2021-11-02,0.28,2,29,4,
216715,converted loft,911466,James,,Binnenstad,51.05756,3.7318,Entire home/apt,70,2,492,2021-12-05,3.97,1,336,26,
252269,Large & bright town House - Center Ghent - max 8p,1195314,Anne-Sophie,,Elisabethbegijnhof - Papegaai,51.05216,3.71993,Entire home/apt,238,2,174,2021-12-20,1.47,1,338,25,
440798,"Big and bright, design savvy with great views!",2188943,Conrad,,Rabot  - Blaisantvest,51.06443,3.7048,Entire home/apt,86,3,56,2021-07-30,0.48,1,356,3,
476371,Private room in a 19th century house near station.,996824,Annabell,,Macharius - Heirnis,51.04857,3.74224,Private room,40,1,24,2018-09-16,0.21,2,359,0,
565472,Large house for short term rental,879188,Dorothee,,Elisabethbegijnhof - Papegaai,51.05536,3.70955,Entire home/apt,90,75,0,,,2,0,0,
599325,Ghent! Need I say more?,2964980,Sas,,Ledeberg,51.03454,3.74631,Private room,31,2,117,2021-12-17,1.02,1,179,5,
696209,Black & White studioB central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,85,60,33,2021-09-02,0.30,4,236,1,
743981,Black & White studioA central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,78,28,20,2020-12-17,0.19,4,236,0,
782514,Garden studio,3644609,Bob,,Sint Amandsberg,51.06837,3.77456,Entire home/apt,120,3,50,2021-11-20,0.55,1,363,1,
835795,Koestraat 46,4369972,Koestraat 46,,Binnenstad,51.05277,3.72902,Entire home/apt,99,2,370,2021-12-22,3.46,1,330,73,
879417,2-bedroom furnished apartment-Ghent,1003009,Nele,,Binnenstad,51.0578,3.72622,Entire home/apt,155,2,10,2021-08-02,0.10,2,28,1,
887716,Duplex studio F central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,67,60,7,2020-03-22,0.14,4,204,0,
924683,Perfect apartment centre of Ghent,4974034,Carmen,,Elisabethbegijnhof - Papegaai,51.05353,3.71675,Entire home/apt,59,3,350,2021-11-26,3.26,2,226,12,
950284,"Studiomie One Room Hotel, a wonderful place!",5155260,Mieke,,Sluizeken - Tolhuis - Ham,51.06266,3.73218,Private room,135,2,5,2014-11-11,0.05,1,0,0,
1018048,"Large airy studio, central location",5600970,Johan,,Sluizeken - Tolhuis - Ham,51.0591,3.7193,Entire home/apt,42,1,695,2021-12-21,7.38,1,243,79,
